,result,table,_start,_stop,_time,_measurement,address,agent_id,pos_no,region_code,region_name,store_code,store_name,zip_code,cpu,disk_io,memory,network_received_bytes,network_sent_bytes,process_GSRTL.CVS.POS.Shell
,_result,0,2026-03-23T02:30:00Z,2026-03-23T06:20:00Z,2026-03-23T02:36:27Z,metrics,"서울 강남구 봉은사로30길 43, 지하1층",V135-POS-03,3,16,2부문,V135,GS25역삼홍인점,06136,19.47,0.98,77.56,266,386,1
,_result,0,2026-03-23T02:30:00Z,2026-03-23T06:20:00Z,2026-03-23T02:36:32Z,metrics,"서울 강남구 봉은사로30길 43, 지하1층",V135-POS-03,3,16,2부문,V135,GS25역삼홍인점,06136,18,0.16,77.56,125,257,1
,_result,0,2026-03-23T02:30:00Z,2026-03-23T06:20:00Z,2026-03-23T02:36:37Z,metrics,"서울 강남구 봉은사로30길 43, 지하1층",V135-POS-03,3,16,2부문,V135,GS25역삼홍인점,06136,18.64,0.13,77.56,175,290,1
,_result,0,2026-03-23T02:30:00Z,2026-03-23T06:20:00Z,2026-03-23T02:36:42Z,metrics,"서울 강남구 봉은사로30길 43, 지하1층",V135-POS-03,3,16,2부문,V135,GS25역삼홍인점,06136,20.69,0.12,78.06,253,393,1
,_result,0,2026-03-23T02:30:00Z,2026-03-23T06:20:00Z,2026-03-23T02:36:47Z,metrics,"서울 강남구 봉은사로30길 43, 지하1층",V135-POS-03,3,16,2부문,V135,GS25역삼홍인점,06136,25.26,4.07,79.29,692,364,1
,_result,0,2026-03-23T02:30:00Z,2026-03-23T06:20:00Z,2026-03-23T02:36:52Z,metrics,"서울 강남구 봉은사로30길 43, 지하1층",V135-POS-03,3,16,2부문,V135,GS25역삼홍인점,06136,21.37,1.22,77.86,545,713,1
,_result,0,2026-03-23T02:30:00Z,2026-03-23T06:20:00Z,2026-03-23T02:36:57Z,metrics,"서울 강남구 봉은사로30길 43, 지하1층",V135-POS-03,3,16,2부문,V135,GS25역삼홍인점,06136,18.09,0.26,77.43,152,280,1
,_result,0,2026-03-23T02:30:00Z,2026-03-23T06:20:00Z,2026-03-23T02:37:02Z,metrics,"서울 강남구 봉은사로30길 43, 지하1층",V135-POS-03,3,16,2부문,V135,GS25역삼홍인점,06136,17.23,0.33,77.41,297,1027,1
,_result,0,2026-03-23T02:30:00Z,2026-03-23T06:20:00Z,2026-03-23T02:37:07Z,metrics,"서울 강남구 봉은사로30길 43, 지하1층",V135-POS-03,3,16,2부문,V135,GS25역삼홍인점,06136,24.87,3.19,78.82,1124,818,1
,_result,0,2026-03-23T02:30:00Z,2026-03-23T06:20:00Z,2026-03-23T02:37:12Z,metrics,"서울 강남구 봉은사로30길 43, 지하1층",V135-POS-03,3,16,2부문,V135,GS25역삼홍인점,06136,20.45,1.4,79.42,177,305,1
,_result,0,2026-03-23T02:30:00Z,2026-03-23T06:20:00Z,2026-03-23T02:37:17Z,metrics,"서울 강남구 봉은사로30길 43, 지하1층",V135-POS-03,3,16,2부문,V135,GS25역삼홍인점,06136,18.01,1.56,77.48,1084,1011,1
,_result,0,2026-03-23T02:30:00Z,2026-03-23T06:20:00Z,2026-03-23T02:37:22Z,metrics,"서울 강남구 봉은사로30길 43, 지하1층",V135-POS-03,3,16,2부문,V135,GS25역삼홍인점,06136,16.39,0.09,77.46,152,334,1
,_result,0,2026-03-23T02:30:00Z,2026-03-23T06:20:00Z,2026-03-23T02:37:27Z,metrics,"서울 강남구 봉은사로30길 43, 지하1층",V135-POS-03,3,16,2부문,V135,GS25역삼홍인점,06136,20.06,0.13,77.43,178,345,1
,_result,0,2026-03-23T02:30:00Z,2026-03-23T06:20:00Z,2026-03-23T02:37:32Z,metrics,"서울 강남구 봉은사로30길 43, 지하1층",V135-POS-03,3,16,2부문,V135,GS25역삼홍인점,06136,24.06,3.42,79.37,808,520,1
,_result,0,2026-03-23T02:30:00Z,2026-03-23T06:20:00Z,2026-03-23T02:37:37Z,metrics,"서울 강남구 봉은사로30길 43, 지하1층",V135-POS-03,3,16,2부문,V135,GS25역삼홍인점,06136,18.16,0.84,77.43,233,394,1
